token,token prob,1 star,5 star
 and,0.41632438,0.0014916264,0.8354911
 from,0.082990184,0.0015660771,0.82218647
",",0.07548448,0.0016887215,0.809777
 very,0.05338937,0.0014914197,0.8186999
 really,0.048121676,0.001289971,0.81211454
.,0.043529697,0.001990755,0.8088112
 but,0.021614686,0.004144708,0.7235683
 well,0.020441454,0.0016567309,0.8061802
 as,0.020096557,0.0012971645,0.8145937
 so,0.016493388,0.0016628144,0.8446281
 when,0.015837608,0.0014586948,0.8386624
 without,0.012776183,0.0011054201,0.84763587
 while,0.008873767,0.0011369609,0.83659387
 perfectly,0.008631181,0.0015777203,0.8329828
 on,0.007221749,0.0014969182,0.8312783
 if,0.0066591,0.0016050148,0.81992286
 great,0.0066206846,0.0016352271,0.82624614
 with,0.006170383,0.0015003493,0.83140814
 &,0.005743501,0.001494983,0.83996505
 like,0.0055130115,0.001784882,0.8270332
