token,token prob,1 star,5 star
<|sor|>,0.27552763,0.0004983369,0.9457062
 I,0.17204776,0.0018460781,0.8401454
 They,0.08619999,0.0013188274,0.8459207
 The,0.07901689,0.0021443572,0.70036393
 ,0.041843385,0.0018729272,0.8256164
 It,0.024788667,0.0015173033,0.8383866
 And,0.020829268,0.0015966318,0.88641185
 This,0.016320664,0.0026110124,0.8584305
 My,0.015619158,0.0023206044,0.68490523
 Great,0.013292171,0.0010381325,0.9132065
 But,0.013176453,0.016342722,0.44215462
 Also,0.011025278,0.001111365,0.89779496
 However,0.010229993,0.012402276,0.2644608
 Very,0.00937394,0.0015105567,0.89017737
 Only,0.007859613,0.0014516481,0.4335393
 Love,0.0077329436,0.0010388698,0.9070804
 These,0.0070414627,0.0017345846,0.8727552
 Plus,0.006131741,0.00091760803,0.90208155
 That,0.006020186,0.007862503,0.730085
 You,0.0059021264,0.0014674038,0.8706328
