token,token prob,1 star,5 star
 my,0.5610546,0.0012205401,0.8376224
 the,0.16488542,0.0015084901,0.8078436
 your,0.12523095,0.0018414384,0.82111543
 well,0.019302785,0.0013678934,0.809808
 very,0.018206727,0.0014695149,0.8239
 and,0.014787331,0.0013384668,0.8400298
 really,0.014291153,0.0011564702,0.80746573
 all,0.0063808146,0.0014096841,0.8231343
 from,0.00629575,0.0015230457,0.8114723
 so,0.0052597336,0.0013991158,0.86023223
 great,0.003926355,0.0014442019,0.8256182
 it,0.0028831917,0.0013214482,0.8229451
 them,0.002771114,0.0011856246,0.8328212
",",0.0026796593,0.0015844705,0.8044143
 you,0.00262544,0.0015087189,0.8300591
 our,0.0022979486,0.0010063485,0.85185105
 phone,0.0022915443,0.0015244354,0.8192288
 everything,0.002179094,0.0013666736,0.8350621
 against,0.0020414302,0.0019638818,0.7958696
 as,0.0016556872,0.0011485175,0.80534416
