token,token prob,1 star,5 star
 this,0.44277626,0.004590133,0.8200007
 the,0.22745615,0.015062912,0.6127212
 it,0.14588769,0.003209173,0.8545912
 my,0.09766705,0.0059319925,0.83134216
 these,0.023889096,0.00484781,0.81714445
 how,0.020066416,0.006355083,0.7324216
 that,0.00531329,0.006204229,0.7376317
 them,0.0039022472,0.0038954997,0.837935
 everything,0.003217184,0.0062467153,0.7570119
 love,0.0015060048,0.003567809,0.86201245
 all,0.0012917494,0.011294051,0.7608026
 your,0.0011588745,0.014131489,0.7855246
 mine,0.0010869413,0.0047264104,0.8142872
 having,0.0010485231,0.00482341,0.7033431
 using,0.0010150842,0.0052869655,0.7722546
 and,0.0009093677,0.009604244,0.7506956
 ,0.0007760952,0.008755681,0.81192094
",",0.00051758235,0.0055823918,0.8088182
 to,0.0004918415,0.01082309,0.74042535
 case,0.00045596508,0.014059787,0.6377135
