token,token prob,1 star,5 star
 I,0.31635395,0.0017965351,0.8322581
 They,0.2933756,0.0013033485,0.8483324
 The,0.07500512,0.0020876222,0.7228614
 It,0.03988616,0.001363019,0.83718854
 This,0.030860873,0.002783359,0.83709514
 My,0.023967246,0.0018831973,0.74341965
 Very,0.015661156,0.001504053,0.8681346
 However,0.0082856165,0.021709956,0.2068384
 Great,0.0067206905,0.0013157453,0.89284956
 So,0.00637115,0.002866935,0.87868166
 Have,0.005807034,0.0011386202,0.89114434
 Easy,0.005229269,0.0011994934,0.886064
 Not,0.0050420635,0.002016836,0.8348117
 You,0.004460744,0.001578321,0.8625896
 But,0.004228573,0.031109149,0.32496467
 Only,0.0042063505,0.0017774055,0.40857303
 they,0.0040011867,0.0019539022,0.816645
 When,0.003412941,0.004014671,0.8117643
 There,0.0033574863,0.0014412402,0.8089558
 One,0.003068233,0.0021239414,0.7422463
