token,token prob,1 star,5 star
 are,0.44372308,0.0011696202,0.8328928
 fit,0.065797806,0.0015236152,0.8529604
 protect,0.061056893,0.001209544,0.83134353
're,0.060111497,0.0012139921,0.7965455
’re,0.04365466,0.0010531832,0.8484425
 look,0.03887832,0.0015159354,0.8116389
 have,0.036335267,0.0016329397,0.8371171
 work,0.022043224,0.0011003314,0.8285379
 do,0.017698806,0.0016619196,0.7318643
 last,0.013458469,0.0013406753,0.8581243
 feel,0.012983184,0.0010758579,0.83232886
 hold,0.012417657,0.0007543351,0.86794674
 don,0.011456997,0.0022307003,0.8000705
 really,0.010916486,0.0015183154,0.8252152
 make,0.009013229,0.0012459977,0.860984
 keep,0.0089127775,0.0010548411,0.85087645
 come,0.008444227,0.001089625,0.84539044
 were,0.007911675,0.0023287996,0.80941963
 give,0.005978764,0.0018453454,0.83442956
 came,0.005557652,0.0013007128,0.83585346
