csv,token,explanation
<|sos|><|phones|><|sotitle|>Review<|sotext|>I really_5_love.csv,love,"sort by token prob, looked at those above epsilon 0.001, looked at those with 5 star prob about 0.8 (none), so chose highest"
<|sos|><|phones|><|sotitle|>Review<|sotext|>I really love_5_these.csv,these,"sort by token prob, looked at those above epsilon 0.001, looked at those with 5 star prob about 0.8, sampled"
<|sos|><|phones|><|sotitle|>Review<|sotext|>I really love these_5_cases.csv,cases,"sort by token prob, looked at those above epsilon 0.001, looked at those with 5 star prob about 0.8, sampled"
<|sos|><|phones|><|sotitle|>Review<|sotext|>I really love these cases_5_..csv,.,"sort by token prob, looked at those above epsilon 0.001, looked at those with 5 star prob about 0.8, sampled"
<|sos|><|phones|><|sotitle|>Review<|sotext|>I really love these cases. _5_They.csv,They,"sort by token prob, looked at those above epsilon 0.001, looked at those with 5 star prob about 0.8, sampled"
<|sos|><|phones|><|sotitle|>Review<|sotext|>I really love these cases. They_5_protect.csv,protect,"sort by token prob, looked at those above epsilon 0.001, looked at those with 5 star prob about 0.8, sampled"
<|sos|><|phones|><|sotitle|>Review<|sotext|>I really love these cases. They protect_5_your.csv,your,"sort by token prob, looked at those above epsilon 0.001, looked at those with 5 star prob about 0.8, sampled"
<|sos|><|phones|><|sotitle|>Review<|sotext|>I really love these cases. They protect your_5_screen.csv,screen,"sort by token prob, looked at those above epsilon 0.001, looked at those with 5 star prob about 0.8, sampled"
<|sos|><|phones|><|sotitle|>Review<|sotext|>I really love these cases. They protect your screen_5_from.csv,from,"sort by token prob, looked at those above epsilon 0.001, looked at those with 5 star prob about 0.8, sampled"
<|sos|><|phones|><|sotitle|>Review<|sotext|>I really love these cases. They protect your screen from_5_being.csv,being,"sort by token prob, looked at those above epsilon 0.001, looked at those with 5 star prob about 0.8, sampled"
<|sos|><|phones|><|sotitle|>Review<|sotext|>I really love these cases. They protect your screen from being_5_shattered.csv,shattered,"sort by token prob, looked at those above epsilon 0.001, looked at those with 5 star prob about 0.8, sampled"
<|sos|><|phones|><|sotitle|>Review<|sotext|>I really love these cases. They protect your screen from being shattered_5_when.csv,when,"sort by token prob, looked at those above epsilon 0.001, looked at those with 5 star prob about 0.8, sampled"
<|sos|><|phones|><|sotitle|>Review<|sotext|>I really love these cases. They protect your screen from being shattered when_5_dropped.csv,dropped,"sort by token prob, looked at those above epsilon 0.001, looked at those with 5 star prob about 0.8, sampled"
<|sos|><|phones|><|sotitle|>Review<|sotext|>I really love these cases. They protect your screen from being shattered when dropped_5_on.csv,on,"sort by token prob, looked at those above epsilon 0.001, looked at those with 5 star prob about 0.8, sampled"
<|sos|><|phones|><|sotitle|>Review<|sotext|>I really love these cases. They protect your screen from being shattered when dropped on_5_cement.csv,cement,"sort by token prob, looked at those above epsilon 0.001, looked at those with 5 star prob about 0.8, sampled"
<|sos|><|phones|><|sotitle|>Review<|sotext|>I really love these cases. They protect your screen from being shattered when dropped on cement_5_!.csv,!,"sort by token prob, looked at those above epsilon 0.001, looked at those with 5 star prob about 0.8, sampled"
<|sos|><|phones|><|sotitle|>Review<|sotext|>I really love these cases. They protect your screen from being shattered when dropped on cement!_5_<|sor|>.csv,<|sor|>,"sort by token prob, looked at those above epsilon 0.001, looked at those with 5 star prob about 0.8, sampled"
<|sos|><|phones|><|sotitle|>Review<|sotext|>I really love these cases. They protect your screen from being shattered when dropped on cement!<|sor|>_5_<|*_5|>.csv,<|*_5|>,"sort by token prob, looked at those above epsilon 0.001, looked at those with 5 star prob about 0.8, only <|*_5|> is"
