token,token prob,1 star,5 star
 the,0.5473597,0.0016478037,0.8326699
 a,0.12918767,0.0015780842,0.8383221
 its,0.06654033,0.001599242,0.81913096
 concrete,0.04759139,0.0010164408,0.82085735
 it,0.030170947,0.0016943543,0.8377811
 hard,0.029726172,0.0014258083,0.8404191
 cement,0.012220231,0.0014635184,0.8469198
 rocks,0.010948891,0.0013151709,0.8518099
 pavement,0.009500819,0.0019545916,0.80616033
 to,0.007863322,0.0017029619,0.8330369
 your,0.0074381162,0.0019649817,0.8310173
 gravel,0.00565428,0.0012547969,0.82224244
 tile,0.005210236,0.001227229,0.8533726
 something,0.0051761256,0.0014444089,0.83203036
 accident,0.003880656,0.0017753172,0.80694973
 flat,0.003288317,0.0020360814,0.80144787
 any,0.0032010942,0.0018410952,0.8304963
 floor,0.0025654354,0.0014603998,0.846266
 ground,0.0024180461,0.0016869743,0.82117635
 purpose,0.002405113,0.0015401831,0.8091244
